CUSTOMER_ID,PRODUCT_TYPE,CHURN_STATUS,DURATION,TRAFFIC_SOURCE,GENDER,AGE_BUCKET,STATE,CARRIER_NAME,SUBMIT_METHOD,REVENUE_RECEIVED
C1,Product B,1,365,Source 43,M,Age Range 1,FL,Carrier 5,Web,52
C2,Product B,0,1072,Source 95,F,Age Range 1,NC,Carrier 3,Phone,228
C3,Product B,1,1091,Source 173,M,Age Range 1,MN,Carrier 3,Web,183
C4,Product A,0,405,Source 2,F,Age Range 1,GA,Carrier 3,Phone,586.31
C5,Product A,1,360,Source 215,M,Age Range 1,TX,Carrier 5,Phone,411
C6,Product A,0,229,Source 160,M,Age Range 1,ME,Carrier 1,Web,606
C7,Product A,0,565,Source 1,M,Age Range 2,FL,Carrier 3,Phone,766.06
C8,Product A,1,0,Source 1,M,Age Range 2,TN,Carrier 3,Phone,40.75
C9,Product A,0,590,Source 1,F,Age Range 2,OK,Carrier 2,Phone,335
C10,Product B,0,135,Source 63,M,Age Range 1,WA,Carrier 5,Phone,629
C11,Product A,1,332,Source 236,F,Age Range 1,NY,Carrier 1,Web,252.92
C12,Product B,0,593,Source 43,M,Age Range 1,FL,Carrier 5,Phone,156
C13,Product A,0,1103,Source 43,F,Age Range 2,PA,Carrier 1,Phone,1234.5
C14,Product A,0,96,Source 200,F,Age Range 2,FL,Carrier 3,Phone,335.33
C15,Product C,0,2302,Source 211,M,Age Range 1,TX,Carrier 4,Phone,1855
C16,Product B,0,198,Source 1,F,Age Range 1,NC,Carrier 5,Phone,118
C17,Product B,1,0,Source 181,F,Age Range 1,CA,Carrier 5,Phone,0
C18,Product A,1,89,Source 95,M,Age Range 1,CA,Carrier 4,Phone,250.72
C19,Product A,0,598,Source 167,F,Age Range 1,MN,Carrier 3,Phone,801.81
C20,Product B,1,305,Source 213,F,Age Range 1,FL,Carrier 3,Phone,70.4
C21,Product A,0,747,Source 1,F,Age Range 1,IL,Carrier 5,Phone,947.94
C22,Product A,1,0,Source 1,F,Age Range 2,NY,Carrier 5,Phone,58.52
C23,Product B,0,190,Source 181,F,Age Range 1,NY,Carrier 5,Web,105
C24,Product A,1,30,Source 95,F,Age Range 1,AL,Carrier 3,Phone,159
C25,Product A,1,363,Source 95,F,Age Range 1,NY,Carrier 1,Phone,580
C26,Product B,0,229,Source 181,F,Age Range 1,WV,Carrier 1,Phone,53
C27,Product B,0,194,Source 181,M,Age Range 3,OK,Carrier 5,Phone,118
C28,Product A,1,31,Source 200,M,Age Range 1,CA,Carrier 3,Phone,74.08
C29,Product B,0,234,Source 189,M,Age Range 1,UT,Carrier 5,Phone,88
C30,Product B,0,257,Source 181,M,Age Range 1,NE,Carrier 1,Phone,128.06
C31,Product C,0,463,Source 88,F,Age Range 3,OH,Carrier 4,Phone,266.05
C32,Product C,0,530,Source 1,M,Age Range 1,WA,Carrier 4,Phone,30.98
C33,Product B,1,358,Source 178,F,Age Range 1,CA,Carrier 3,Phone,72
C34,Product B,0,221,Source 81,M,Age Range 1,MA,Carrier 5,Web,75
C35,Product A,1,762,Source 1,F,Age Range 1,IN,Carrier 4,Phone,941.21
C36,Product A,1,360,Source 160,F,Age Range 1,OH,Carrier 3,Phone,593
C37,Product C,1,154,Source 200,F,Age Range 1,WV,Carrier 4,Phone,145.4
C38,Product C,0,562,Source 1,M,Age Range 1,NY,Carrier 4,Phone,323.06
C39,Product A,0,828,Source 1,F,Age Range 1,LA,Carrier 3,Phone,815
C40,Product B,0,227,Source 181,F,Age Range 1,MA,Carrier 5,Phone,61
C41,Product B,0,2050,Source 161,F,Age Range 1,IN,Carrier 3,Phone,281
C42,Product A,0,961,Source 191,M,Age Range 1,VA,Carrier 3,Web,884
C43,Product A,1,838,Source 1,F,Age Range 1,MI,Carrier 5,Phone,921.25
C44,Product A,0,1776,Source 164,M,Age Range 1,CO,Carrier 3,Phone,1524.82
C45,Product A,1,431,Source 95,F,Age Range 2,CA,Carrier 1,Phone,830.92
C46,Product A,0,1504,Source 183,F,Age Range 1,WA,Carrier 3,Phone,1664.75
C47,Product B,1,364,Source 95,F,Age Range 2,WI,Carrier 3,Phone,95
C48,Product A,0,1140,Source 178,M,Age Range 1,AZ,Carrier 3,Phone,1445
C49,Product A,1,727,Source 43,F,Age Range 2,CA,Carrier 4,Phone,1077.92
C50,Product A,0,506,Source 95,M,Age Range 2,IL,Carrier 5,Phone,549.5
C51,Product A,0,592,Source 39,M,Age Range 1,NM,Carrier 2,Phone,752
C52,Product A,1,363,Source 43,M,Age Range 2,IN,Carrier 4,Phone,317.96
C53,Product B,1,964,Source 178,M,Age Range 1,IL,Carrier 5,Web,216
C54,Product A,0,956,Source 178,F,Age Range 2,AR,Carrier 3,Phone,1087
C55,Product B,1,177,Source 95,F,Age Range 1,MI,Carrier 3,Phone,54.5
C56,Product A,0,369,Source 185,F,Age Range 3,PA,Carrier 3,Phone,570.73
C57,Product C,1,1834,Source 164,M,Age Range 2,CO,Carrier 4,Phone,3103.2
C58,Product A,0,228,Source 1,F,Age Range 2,GA,Carrier 1,Phone,312
C59,Product B,0,130,Source 192,M,Age Range 3,AK,Carrier 3,Phone,117
C60,Product B,0,1323,Source 95,F,Age Range 1,NJ,Carrier 3,Web,227
C61,Product B,1,148,Source 173,F,Age Range 1,IN,Carrier 5,Phone,73.17
C62,Product A,1,30,Source 222,M,Age Range 1,AZ,Carrier 3,Phone,45.83
C63,Product A,0,472,Source 208,F,Age Range 2,MO,Carrier 3,Phone,663.81
C64,Product B,0,1138,Source 95,F,Age Range 3,CA,Carrier 3,Phone,217
C65,Product A,0,592,Source 1,M,Age Range 3,NC,Carrier 5,Phone,703.26
C66,Product B,1,124,Source 181,M,Age Range 1,WI,Carrier 5,Phone,66.67
C67,Product A,1,119,Source 199,F,Age Range 1,LA,Carrier 3,Phone,643
C68,Product A,1,151,Source 95,M,Age Range 3,GA,Carrier 4,Phone,867.96
C69,Product A,1,32,Source 1,M,Age Range 1,FL,Carrier 3,Phone,59
C70,Product A,1,538,Source 95,F,Age Range 2,AZ,Carrier 3,Phone,702
C71,Product A,0,957,Source 154,M,Age Range 2,TN,Carrier 2,Phone,1353
C72,Product A,0,590,Source 222,F,Age Range 3,GA,Carrier 1,Phone,740.25
C73,Product A,1,399,Source 194,M,Age Range 1,IN,Carrier 3,Phone,772.98
C74,Product A,0,165,Source 1,M,Age Range 1,CA,Carrier 3,Phone,420
C75,Product A,1,179,Source 170,M,Age Range 2,TX,Carrier 2,Phone,181.5
C76,Product A,0,798,Source 1,M,Age Range 2,SC,Carrier 3,Phone,1092
C77,Product B,1,338,Source 176,M,Age Range 1,OH,Carrier 5,Web,106.75
C78,Product A,1,368,Source 13,F,Age Range 2,TX,Carrier 3,Phone,390
C79,Product A,0,899,Source 1,M,Age Range 2,MI,Carrier 5,Phone,919.25
C80,Product B,0,224,Source 185,M,Age Range 1,PA,Carrier 5,Phone,107
C81,Product A,0,381,Source 194,F,Age Range 3,TX,Carrier 1,Phone,771.25
C82,Product A,0,714,Source 1,M,Age Range 2,AL,Carrier 5,Phone,948.94
C83,Product A,0,438,Source 88,M,Age Range 1,TX,Carrier 5,Phone,622.11
C84,Product A,1,27,Source 95,F,Age Range 1,SC,Carrier 3,Phone,145.38
C85,Product A,1,363,Source 95,F,Age Range 1,TX,Carrier 3,Phone,388.5
C86,Product A,0,622,Source 222,F,Age Range 2,AZ,Carrier 5,Phone,372.83
C87,Product A,0,435,Source 1,F,Age Range 2,AL,Carrier 3,Phone,496.64
C88,Product A,0,685,Source 226,M,Age Range 2,AZ,Carrier 3,Phone,1086
C89,Product A,1,30,Source 1,M,Age Range 2,OH,Carrier 1,Phone,0
C90,Product A,0,926,Source 1,M,Age Range 2,CA,Carrier 3,Phone,1063
C91,Product A,1,118,Source 200,M,Age Range 2,NY,Carrier 3,Phone,324
C92,Product B,0,405,Source 200,M,Age Range 1,IN,Carrier 5,Web,187
C93,Product B,1,363,Source 222,F,Age Range 1,NJ,Carrier 3,Phone,62
C94,Product B,0,226,Source 200,F,Age Range 3,LA,Carrier 1,Phone,145.06
C95,Product A,0,1405,Source 222,M,Age Range 1,TX,Carrier 3,Phone,1787
C96,Product A,0,954,Source 1,F,Age Range 1,GA,Carrier 2,Phone,1033
C97,Product C,0,403,Source 160,M,Age Range 1,IL,Carrier 4,Phone,171.5
C98,Product A,1,356,Source 178,F,Age Range 1,WA,Carrier 4,Phone,371
C99,Product B,0,134,Source 181,F,Age Range 1,MS,Carrier 5,Web,106
C100,Product A,0,956,Source 1,M,Age Range 1,SC,Carrier 3,Phone,678
C101,Product B,1,604,Source 95,F,Age Range 2,UT,Carrier 3,Web,133
